scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,totalPrice,taxIncludedInPrice
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,9,SN5631,SN,BRUSSELS AIRLINES,2023-05-31,19:00:00+02:00,2023-06-01,08:35:00+03:00,389.32,200.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,08:20,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-05-31,06:55:00+02:00,2023-05-31,16:15:00+03:00,302.38,113.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,6,SN5589,SN,BRUSSELS AIRLINES,2023-06-01,19:15:00+02:00,2023-06-02,08:35:00+03:00,242.88,118.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-06-01,12:00:00+02:00,2023-06-01,15:45:00+03:00,265.14,76.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,2,SN5631,SN,BRUSSELS AIRLINES,2023-06-01,19:00:00+02:00,2023-06-02,08:35:00+03:00,285.32,161.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-03,19:15:00+02:00,2023-06-04,08:35:00+03:00,242.88,118.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,3,SN5589,SN,BRUSSELS AIRLINES,2023-06-03,19:15:00+02:00,2023-06-04,14:35:00+03:00,453.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-06-03,06:55:00+02:00,2023-06-03,13:35:00+03:00,482.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,5,SN5589,SN,BRUSSELS AIRLINES,2023-06-03,19:15:00+02:00,2023-06-04,14:35:00+03:00,505.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-06-04,07:00:00+02:00,2023-06-04,10:45:00+03:00,226.14,67.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,3,SN5629,SN,BRUSSELS AIRLINES,2023-06-04,06:55:00+02:00,2023-06-04,14:35:00+03:00,378.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:35,2,1,SN5587,SN,BRUSSELS AIRLINES,2023-06-04,07:00:00+02:00,2023-06-04,14:35:00+03:00,447.11,212.11
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-05,19:15:00+02:00,2023-06-06,08:35:00+03:00,177.88,92.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,9,SN5631,SN,BRUSSELS AIRLINES,2023-06-05,19:00:00+02:00,2023-06-06,08:35:00+03:00,207.32,122.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:55,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-06-05,06:55:00+02:00,2023-06-05,14:50:00+03:00,408.38,143.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN8172,SN,BRUSSELS AIRLINES,2023-06-06,06:50:00+02:00,2023-06-06,13:30:00+03:00,277.38,118.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-07,19:15:00+02:00,2023-06-08,08:35:00+03:00,242.88,118.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,07:20,1,9,SN8172,SN,BRUSSELS AIRLINES,2023-06-07,06:50:00+02:00,2023-06-07,15:10:00+03:00,277.38,118.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,9,SN5631,SN,BRUSSELS AIRLINES,2023-06-07,19:00:00+02:00,2023-06-08,08:35:00+03:00,285.32,161.32
