scrapeDate,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-16,FR 2915,BRU,Brussels,PMI,Mallorca,2023-04-03T20:25:00.000,2023-04-03T22:40:00.000,Ryanair,02:15,115.79,115.79,False,False,0.0,ADT,4
2023-03-16,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-03T12:00:00.000,2023-04-03T16:35:00.000,Ryanair,03:35,167.34,167.34,False,False,0.0,ADT,-1
2023-03-16,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-03T20:55:00.000,2023-04-03T23:20:00.000,Malta Air,02:25,78.04,78.04,False,False,0.0,ADT,-1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03T06:30:00.000,2023-04-03T08:45:00.000,Ryanair,02:15,123.72,123.72,False,False,0.0,ADT,-1
2023-03-16,FR 1310,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03T09:30:00.000,2023-04-03T11:45:00.000,Malta Air,02:15,115.99,115.99,False,False,0.0,ADT,-1
2023-03-16,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-03T12:05:00.000,2023-04-03T14:35:00.000,Ryanair,02:30,171.43,171.43,False,False,0.0,ADT,1
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-03T18:00:00.000,2023-04-03T19:55:00.000,Ryanair,02:55,133.59,133.59,False,False,0.0,ADT,5
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-03T16:55:00.000,2023-04-03T19:20:00.000,Ryanair,02:25,95.99,104.99,True,False,9.0,ADT,2
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-03T19:20:00.000,2023-04-03T22:05:00.000,Ryanair,02:45,94.19,104.99,True,False,10.8,ADT,1
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-03T08:55:00.000,2023-04-03T11:05:00.000,Ryanair,02:10,87.24,87.24,False,False,0.0,ADT,-1
2023-03-16,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-04T07:20:00.000,2023-04-04T11:45:00.000,Ryanair,03:25,156.69,156.69,False,False,0.0,ADT,-1
2023-03-16,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-04T17:20:00.000,2023-04-04T19:45:00.000,Ryanair,02:25,76.21,76.21,False,False,0.0,ADT,-1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-04T19:20:00.000,2023-04-04T21:35:00.000,Malta Air,02:15,95.41,95.41,False,False,0.0,ADT,3
2023-03-16,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-04T15:35:00.000,2023-04-04T18:05:00.000,Ryanair,02:30,189.29,206.99,True,False,17.7,ADT,-1
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-04T13:45:00.000,2023-04-04T15:40:00.000,Ryanair,02:55,134.64,134.64,False,False,0.0,ADT,5
2023-03-16,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-04-04T16:45:00.000,2023-04-04T18:40:00.000,Ryanair,02:55,95.99,104.99,True,False,9.0,ADT,5
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-04T06:30:00.000,2023-04-04T08:55:00.000,Ryanair,02:25,84.62,84.62,False,False,0.0,ADT,-1
2023-03-16,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-04T12:15:00.000,2023-04-04T14:40:00.000,Ryanair,02:25,90.99,90.99,False,False,0.0,ADT,-1
2023-03-16,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-04T09:25:00.000,2023-04-04T11:50:00.000,Ryanair,02:25,67.64,74.99,True,False,7.35,ADT,3
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-04T16:00:00.000,2023-04-04T18:45:00.000,Ryanair,02:45,152.92,152.92,False,False,0.0,ADT,-1
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-04T06:35:00.000,2023-04-04T08:45:00.000,Ryanair,02:10,78.99,78.99,False,False,0.0,ADT,1
2023-03-16,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-04T07:15:00.000,2023-04-04T10:50:00.000,Ryanair,04:35,128.43,141.99,True,False,13.56,ADT,-1
2023-03-16,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-05T10:05:00.000,2023-04-05T13:00:00.000,Ryanair,02:55,183.29,183.29,False,False,0.0,ADT,2
2023-03-16,FR 2915,BRU,Brussels,PMI,Mallorca,2023-04-05T17:25:00.000,2023-04-05T19:40:00.000,Ryanair,02:15,87.99,87.99,False,False,0.0,ADT,2
2023-03-16,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-05T13:10:00.000,2023-04-05T17:45:00.000,Ryanair,03:35,129.33,129.33,False,False,0.0,ADT,1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-05T16:35:00.000,2023-04-05T18:50:00.000,Ryanair,02:15,111.5,111.5,False,False,0.0,ADT,-1
2023-03-16,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-05T09:25:00.000,2023-04-05T11:55:00.000,Malta Air,02:30,190.02,190.02,False,False,0.0,ADT,4
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-05T12:25:00.000,2023-04-05T14:20:00.000,Ryanair,02:55,101.39,101.39,False,False,0.0,ADT,1
2023-03-16,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-04-05T16:20:00.000,2023-04-05T18:15:00.000,Ryanair,02:55,115.79,115.79,False,False,0.0,ADT,-1
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-05T10:00:00.000,2023-04-05T12:25:00.000,Ryanair,02:25,110.49,110.49,False,False,0.0,ADT,5
2023-03-16,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-05T14:45:00.000,2023-04-05T17:10:00.000,Ryanair,02:25,104.99,104.99,False,False,0.0,ADT,-1
2023-03-16,FR 6063,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-05T21:55:00.000,2023-04-06T00:20:00.000,Ryanair,02:25,72.27,72.27,False,False,0.0,ADT,3
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-05T06:45:00.000,2023-04-05T09:30:00.000,Ryanair,02:45,104.99,104.99,False,False,0.0,ADT,5
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-05T06:55:00.000,2023-04-05T09:05:00.000,Ryanair,02:10,74.99,74.99,False,False,0.0,ADT,-1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-06T06:25:00.000,2023-04-06T08:40:00.000,Ryanair,02:15,65.99,65.99,False,False,0.0,ADT,-1
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-06T11:25:00.000,2023-04-06T13:20:00.000,Ryanair,02:55,100.8,100.8,False,False,0.0,ADT,2
2023-03-16,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-06T09:00:00.000,2023-04-06T11:25:00.000,Ryanair,02:25,111.49,111.49,False,False,0.0,ADT,-1
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-06T15:05:00.000,2023-04-06T17:30:00.000,Ryanair,02:25,110.69,110.69,False,False,0.0,ADT,5
2023-03-16,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-06T10:20:00.000,2023-04-06T12:45:00.000,Ryanair,02:25,53.01,53.01,False,False,0.0,ADT,-1
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-06T17:30:00.000,2023-04-06T20:15:00.000,Ryanair,02:45,135.64,135.64,False,False,0.0,ADT,4
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-06T17:45:00.000,2023-04-06T19:55:00.000,Lauda Europe,02:10,114.99,114.99,False,False,0.0,ADT,1
2023-03-16,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-06T20:00:00.000,2023-04-06T23:35:00.000,Ryanair,04:35,74.88,83.99,True,False,9.11,ADT,-1
