scrapeDate,flightKey,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,departureTime,arrivalDate,arrivalTime,carrierCode,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-29,FR 2941_2023-05-09,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-09,13:45:00,2023-05-09,15:40:00,FR,Ryanair,02:55,47.37,47.37,False,False,0.0,ADT,3
2023-03-29,FR 6312_2023-05-09,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-05-09,16:45:00,2023-05-09,18:40:00,FR,Ryanair,02:55,34.79,38.99,True,False,4.2,ADT,-1
2023-03-29,FR 3534_2023-05-09,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-09,06:30:00,2023-05-09,08:55:00,FR,Ryanair,02:25,97.39,97.39,False,False,0.0,ADT,-1
2023-03-29,FR 9053_2023-05-09,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-09,12:15:00,2023-05-09,14:40:00,FR,Ryanair,02:25,113.12,120.99,True,False,7.87,ADT,-1
2023-03-29,FR 6456_2023-05-09,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-09,09:25:00,2023-05-09,11:50:00,FR,Ryanair,02:25,58.83,64.99,True,False,6.16,ADT,-1
2023-03-29,FR 1916_2023-05-09,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-09,16:00:00,2023-05-09,18:45:00,FR,Ryanair,02:45,77.09,77.09,False,False,0.0,ADT,-1
2023-03-29,FR 7831_2023-05-09,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-05-09,06:35:00,2023-05-09,08:45:00,FR,Ryanair,02:10,36.47,38.99,True,False,2.52,ADT,2
2023-03-29,FR 563_2023-05-09,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-09,07:15:00,2023-05-09,10:50:00,FR,Ryanair,04:35,97.81,108.99,True,False,11.18,ADT,3
2023-03-29,FR 2923_2023-05-10,FR 2923,BRU,Brussels,AGP,Malaga,2023-05-10,10:05:00,2023-05-10,13:00:00,FR,Ryanair,02:55,91.12,91.12,False,False,0.0,ADT,-1
2023-03-29,FR 2915_2023-05-10,FR 2915,BRU,Brussels,PMI,Mallorca,2023-05-10,17:25:00,2023-05-10,19:40:00,FR,Ryanair,02:15,60.99,67.99,True,False,7.0,ADT,-1
2023-03-29,FR 8577_2023-05-10,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-10,13:10:00,2023-05-10,17:45:00,FR,Ryanair,03:35,99.53,99.53,False,False,0.0,ADT,-1
2023-03-29,FR 1302_2023-05-10,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-10,16:35:00,2023-05-10,18:50:00,FR,Ryanair,02:15,49.89,55.99,True,False,6.1,ADT,-1
2023-03-29,FR 6269_2023-05-10,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-10,09:25:00,2023-05-10,11:55:00,FR,Malta Air,02:30,70.0,70.0,False,False,0.0,ADT,-1
2023-03-29,FR 2941_2023-05-10,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-10,12:25:00,2023-05-10,14:20:00,FR,Ryanair,02:55,46.04,50.99,True,False,4.95,ADT,-1
2023-03-29,FR 6312_2023-05-10,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-05-10,16:20:00,2023-05-10,18:15:00,FR,Ryanair,02:55,35.84,38.99,True,False,3.15,ADT,-1
2023-03-29,FR 3534_2023-05-10,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-10,10:00:00,2023-05-10,12:25:00,FR,Ryanair,02:25,111.54,120.99,True,False,9.45,ADT,4
